n_laws,month,topic,salience_seat,clp,time,ideo_gov,gov_pop_l1,bundesratmaj,elec_cycle_12,rile_diff,salience_diff,europe,account_balance_perc_l1,salience_chanc,salience_partner,salience_gov,salience_perc,gov_pop_delta,start_date
1,1998-06-01,3,2.0154687967155036,22,169,1,-1.4340390879478828,0,2,25.155,0.02355421518527827,0.16129032258064516,-0.5192578235361545,1.6908212560386473,4.046242774566474,2.8685320153025606,2.027741467045471,0.37650624853633097,1994-11-17
0,1998-06-01,721,4.317980369569762,18,169,1,-1.4340390879478828,0,2,25.155,0.03288444891234537,0.15384615384615383,-0.5192578235361545,3.864734299516908,7.153179190751445,5.508956745134176,4.335114457770507,0.37650624853633097,1994-11-17
1,1998-06-01,6,3.6284871798840297,6,169,1,-1.4340390879478828,0,2,25.155,0.03543429393203205,0.0588235294117647,-0.5192578235361545,3.140096618357488,6.683526011560693,4.911811314959091,3.646949837390649,0.37650624853633097,1994-11-17
1,1998-06-01,25,2.6330469815013675,8,169,1,-1.4340390879478828,0,2,25.155,0.02802560665717237,0,-0.5192578235361545,3.0193236714975846,0.2167630057803468,1.6180433386389657,2.6184445407664363,0.37650624853633097,1994-11-17
8,1998-07-01,12,11.755799386171338,45,170,1,-1.3806949806949806,0,2,25.155,0.04961289827148082,0.3950617283950617,-0.5192578235361545,12.439613526570048,7.478323699421965,9.958968612996006,11.729949119464909,-0.2010173146223705,1994-11-17
2,1998-07-01,2420,4.04953320425882,33,170,1,-1.3806949806949806,0,2,25.155,0.02217021306302533,0.08771929824561403,-0.5192578235361545,3.7439613526570046,5.960982658959538,4.852472005808271,4.0610847551777285,-0.2010173146223705,1994-11-17
3,1998-07-01,1,9.019066251289455,35,170,1,-1.3806949806949806,0,2,25.155,0.01158512747479825,0.2698412698412698,-0.5192578235361545,9.178743961352655,8.020231213872831,8.599487587612744,9.013029945298769,-0.2010173146223705,1994-11-17
4,1998-07-01,15,4.677510866555772,21,170,1,-1.3806949806949806,0,2,25.155,0.01989263075591298,0.6222222222222222,-0.5192578235361545,4.951690821256038,2.9624277456647397,3.9570592834603886,4.667146025386463,-0.2010173146223705,1994-11-17
0,1998-07-01,19,9.551421846414105,25,170,1,-1.3806949806949806,0,2,25.155,0.01827650721845243,0.5,-0.5192578235361545,9.29951690821256,11.127167630057803,10.21334226913518,9.560944623807064,-0.2010173146223705,1994-11-17
2,1998-07-01,4,3.605925549506364,22,170,1,-1.3806949806949806,0,2,25.155,0.01877740079863728,0.5625,-0.5192578235361545,3.864734299516908,1.9869942196531791,2.9258642595850435,3.596141786904103,-0.2010173146223705,1994-11-17
0,1998-07-01,13,10.009218423605647,20,170,1,-1.3806949806949806,0,2,25.155,0.05365844293652789,0.1111111111111111,-0.5192578235361545,10.748792270531402,5.382947976878612,8.065870123705007,9.981260269389969,-0.2010173146223705,1994-11-17
1,1998-07-01,14,5.074541206927768,11,170,1,-1.3806949806949806,0,2,25.155,0.01737420066460026,0.07142857142857142,-0.5192578235361545,5.314009661835748,3.5765895953757223,4.445299628605735,5.065488566653997,-0.2010173146223705,1994-11-17
4,1998-07-01,16,3.2708514053620212,14,170,1,-1.3806949806949806,0,2,25.155,0.02701160258021278,0.07692307692307693,-0.5192578235361545,2.898550724637681,5.5997109826589595,4.24913085364832,3.2849255101854444,-0.2010173146223705,1994-11-17
0,1998-07-01,8,2.787408515920705,10,170,1,-1.3806949806949806,0,2,25.155,0.01682618469185445,0.5,-0.5192578235361545,3.0193236714975846,1.3367052023121389,2.1780144369048617,2.7786414134717403,-0.2010173146223705,1994-11-17
6,1998-07-01,10,4.7842817018083945,49,170,1,-1.3806949806949806,0,2,25.155,0.03166624780095502,0.15853658536585366,-0.5192578235361545,4.3478260869565215,7.514450867052023,5.931138477004272,4.8007810594304265,-0.2010173146223705,1994-11-17
1,1998-07-01,2,8.88506300305342,14,170,1,-1.3806949806949806,0,2,25.155,0.01254502806400267,0.29411764705882354,-0.5192578235361545,9.057971014492754,7.803468208092486,8.43071961129262,8.878526551191253,-0.2010173146223705,1994-11-17
0,1998-07-01,5,4.665216666580683,21,170,1,-1.3806949806949806,0,2,25.155,0.03179016224065231,0.3235294117647059,-0.5192578235361545,4.2270531400966185,7.40606936416185,5.816561252129233,4.681780588487941,-0.2010173146223705,1994-11-17
7,1998-07-01,18,2.584134275818035,50,170,1,-1.3806949806949806,0,2,25.155,0.01404945407835581,0.20270270270270271,-0.5192578235361545,2.7777777777777777,1.3728323699421965,2.075305073859987,2.57681395897184,-0.2010173146223705,1994-11-17
0,1998-07-01,17,2.685044369056805,10,170,1,-1.3806949806949806,0,2,25.155,0.01955928346038927,0.17391304347826086,-0.5192578235361545,2.4154589371980677,4.371387283236994,3.3934231102175314,2.69523552320529,-0.2010173146223705,1994-11-17
1,1998-07-01,3,2.0154687967155036,23,170,1,-1.3806949806949806,0,2,25.155,0.02355421518527827,0.16129032258064516,-0.5192578235361545,1.6908212560386473,4.046242774566474,2.8685320153025606,2.027741467045471,-0.2010173146223705,1994-11-17
1,1998-07-01,721,4.317980369569762,18,170,1,-1.3806949806949806,0,2,25.155,0.03288444891234537,0.15384615384615383,-0.5192578235361545,3.864734299516908,7.153179190751445,5.508956745134176,4.335114457770507,-0.2010173146223705,1994-11-17
0,1998-07-01,6,3.6284871798840297,7,170,1,-1.3806949806949806,0,2,25.155,0.03543429393203205,0.0588235294117647,-0.5192578235361545,3.140096618357488,6.683526011560693,4.911811314959091,3.646949837390649,-0.2010173146223705,1994-11-17
0,1998-07-01,25,2.6330469815013675,9,170,1,-1.3806949806949806,0,2,25.155,0.02802560665717237,0,-0.5192578235361545,3.0193236714975846,0.2167630057803468,1.6180433386389657,2.6184445407664363,-0.2010173146223705,1994-11-17
7,1998-08-01,12,11.755799386171338,53,171,1,-1.459124690338563,0,2,25.155,0.04961289827148082,0.3950617283950617,-0.5192578235361545,12.439613526570048,7.478323699421965,9.958968612996006,11.729949119464909,0.3488108445043473,1994-11-17
5,1998-08-01,2420,4.04953320425882,35,171,1,-1.459124690338563,0,2,25.155,0.02217021306302533,0.08771929824561403,-0.5192578235361545,3.7439613526570046,5.960982658959538,4.852472005808271,4.0610847551777285,0.3488108445043473,1994-11-17
2,1998-08-01,1,9.019066251289455,38,171,1,-1.459124690338563,0,2,25.155,0.01158512747479825,0.2698412698412698,-0.5192578235361545,9.178743961352655,8.020231213872831,8.599487587612744,9.013029945298769,0.3488108445043473,1994-11-17
4,1998-08-01,15,4.677510866555772,25,171,1,-1.459124690338563,0,2,25.155,0.01989263075591298,0.6222222222222222,-0.5192578235361545,4.951690821256038,2.9624277456647397,3.9570592834603886,4.667146025386463,0.3488108445043473,1994-11-17
2,1998-08-01,19,9.551421846414105,25,171,1,-1.459124690338563,0,2,25.155,0.01827650721845243,0.5,-0.5192578235361545,9.29951690821256,11.127167630057803,10.21334226913518,9.560944623807064,0.3488108445043473,1994-11-17
1,1998-08-01,4,3.605925549506364,24,171,1,-1.459124690338563,0,2,25.155,0.01877740079863728,0.5625,-0.5192578235361545,3.864734299516908,1.9869942196531791,2.9258642595850435,3.596141786904103,0.3488108445043473,1994-11-17
4,1998-08-01,13,10.009218423605647,20,171,1,-1.459124690338563,0,2,25.155,0.05365844293652789,0.1111111111111111,-0.5192578235361545,10.748792270531402,5.382947976878612,8.065870123705007,9.981260269389969,0.3488108445043473,1994-11-17
0,1998-08-01,14,5.074541206927768,12,171,1,-1.459124690338563,0,2,25.155,0.01737420066460026,0.07142857142857142,-0.5192578235361545,5.314009661835748,3.5765895953757223,4.445299628605735,5.065488566653997,0.3488108445043473,1994-11-17
0,1998-08-01,16,3.2708514053620212,18,171,1,-1.459124690338563,0,2,25.155,0.02701160258021278,0.07692307692307693,-0.5192578235361545,2.898550724637681,5.5997109826589595,4.24913085364832,3.2849255101854444,0.3488108445043473,1994-11-17
0,1998-08-01,8,2.787408515920705,10,171,1,-1.459124690338563,0,2,25.155,0.01682618469185445,0.5,-0.5192578235361545,3.0193236714975846,1.3367052023121389,2.1780144369048617,2.7786414134717403,0.3488108445043473,1994-11-17
8,1998-08-01,10,4.7842817018083945,55,171,1,-1.459124690338563,0,2,25.155,0.03166624780095502,0.15853658536585366,-0.5192578235361545,4.3478260869565215,7.514450867052023,5.931138477004272,4.8007810594304265,0.3488108445043473,1994-11-17
